Record,Date,UTC Time,recipeName,pvcSet,pvcMeasured,caco3Set,caco3Measured,feeder3Set,feeder3Measured,feeder4Set,feeder4Measured,feeder5oilSet,feeder5OilMeasured,feeder6OilSet,feeder6OilMeasured,feeder7Set,currentBatch,batches
         1, 2/22/2024,12:22:41,"2024 CA-1"                                                                                                                                                                                                                                                     ,   1.057500E+02,   1.085900E+02,   2.880000E+01,   2.902000E+01,   0.000000E+00,   0.000000E+00,   3.680000E+00,   3.600000E+00,   6.070000E+01,   6.174000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,     2,     1
         2, 2/22/2024,13:04:13,"2024 CA-1"                                                                                                                                                                                                                                                     ,   1.057500E+02,   1.064800E+02,   2.880000E+01,   2.881000E+01,   0.000000E+00,   0.000000E+00,   3.680000E+00,   3.720000E+00,   6.070000E+01,   6.177000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,     1,     0
         3, 2/22/2024,13:51:31,"2024 CA-1"                                                                                                                                                                                                                                                     ,   1.057500E+02,   1.064400E+02,   2.880000E+01,   2.915000E+01,   0.000000E+00,   0.000000E+00,   3.680000E+00,   3.760000E+00,   6.070000E+01,   6.150000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,     2,     0
         4, 2/22/2024,14:05:39,"2024 CA-1"                                                                                                                                                                                                                                                     ,   1.057500E+02,   1.067600E+02,   2.880000E+01,   2.906000E+01,   0.000000E+00,   0.000000E+00,   3.680000E+00,   3.510000E+00,   6.070000E+01,   6.171000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,     2,     1
         5, 2/22/2024,15:18:28,"2024 CA-1"                                                                                                                                                                                                                                                     ,   1.057500E+02,   1.067100E+02,   2.880000E+01,   2.716000E+01,   0.000000E+00,   0.000000E+00,   3.680000E+00,   3.710000E+00,   6.070000E+01,   6.111000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,     1,     0
         6, 2/22/2024,15:53:40,"107.1"                                                                                                                                                                                                                                                         ,   7.774000E+01,   7.878000E+01,   6.000000E+01,   5.998000E+01,   0.000000E+00,   0.000000E+00,   3.400000E-01,   4.100000E-01,   6.064000E+01,   6.166000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,     1,     0
         7, 2/22/2024,17:08:39,"107.1"                                                                                                                                                                                                                                                         ,   7.774000E+01,   7.896999E+01,   6.000000E+01,   5.982000E+01,   0.000000E+00,   0.000000E+00,   3.400000E-01,   5.000000E-01,   6.064000E+01,   6.182000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,     1,     0
         8, 2/22/2024,19:53:12,"107.1"                                                                                                                                                                                                                                                         ,   7.774000E+01,   7.847000E+01,   6.000000E+01,   6.050000E+01,   0.000000E+00,   0.000000E+00,   3.400000E-01,   5.100000E-01,   6.064000E+01,   6.175000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,     2,     0
         9, 2/22/2024,20:12:45,"107.1"                                                                                                                                                                                                                                                         ,   7.774000E+01,   7.887000E+01,   6.000000E+01,   5.998000E+01,   0.000000E+00,   0.000000E+00,   3.400000E-01,   4.800000E-01,   6.064000E+01,   6.164000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,     2,     1
        10, 2/22/2024,20:46:42,"107.1"                                                                                                                                                                                                                                                         ,   7.774000E+01,   7.889000E+01,   6.000000E+01,   6.052000E+01,   0.000000E+00,   0.000000E+00,   3.400000E-01,   4.000000E-01,   6.064000E+01,   6.160000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,     1,     0
        11, 2/22/2024,21:33:05,"107.1"                                                                                                                                                                                                                                                         ,   7.774000E+01,   7.870000E+01,   6.000000E+01,   5.989000E+01,   0.000000E+00,   0.000000E+00,   3.400000E-01,   5.000000E-01,   6.064000E+01,   6.163000E+01,   0.000000E+00,   0.000000E+00,   0.000000E+00,     1,     0
        12, 2/23/2024, 5:35:39,"2024.pvc5"                                                                                                                                                                                                                                                     ,   6.276000E+01,   6.391000E+01,   3.013000E+01,   3.025000E+01,   0.000000E+00,   0.000000E+00,   2.200000E+00,   2.290000E+00,   5.270000E+01,   5.254000E+01,   0.000000E+00,   0.000000E+00,   2.150000E+00,     1,     0
        13, 2/23/2024,19:47:51,"2024 CA-1"                                                                                                                                                                                                                                                     ,   6.276000E+01,   6.370000E+01,   3.113000E+01,   3.129000E+01,   0.000000E+00,   0.000000E+00,   2.200000E+00,   2.350000E+00,   5.270000E+01,   5.265000E+01,   0.000000E+00,   0.000000E+00,   2.150000E+00,     1,     0
        14, 2/23/2024,20:26:16,"2024.pvc5"                                                                                                                                                                                                                                                     ,   6.276000E+01,   6.364000E+01,   3.113000E+01,   3.177000E+01,   0.000000E+00,   0.000000E+00,   2.200000E+00,   2.300000E+00,   5.270000E+01,   5.266000E+01,   0.000000E+00,   0.000000E+00,   2.150000E+00,     1,     0
